zip,compid,compname,comrate,indrate,resrate
23070,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23071,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23072,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23075,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23076,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23079,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23083,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23084,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23085,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23086,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23089,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23090,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23091,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23092,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23093,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23102,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23103,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23106,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23108,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23109,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23110,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23111,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23112,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23113,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23114,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23116,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23117,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23119,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23120,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23123,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23124,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23125,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23128,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23129,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23130,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23138,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23139,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23140,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23141,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23146,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23148,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23149,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23150,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23153,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23156,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23163,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23168,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23169,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23175,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23176,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23177,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23180,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23181,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23185,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23186,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23188,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23192,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23219,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23220,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23221,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23222,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23223,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23224,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23225,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23226,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23227,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23228,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23229,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23230,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23231,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23232,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23233,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23234,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23235,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23236,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23237,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23238,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23250,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23269,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23273,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23284,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23294,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23297,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23298,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23301,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23303,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23306,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23307,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23310,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23314,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23315,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23320,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23321,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23322,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23323,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23324,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23325,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23336,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23337,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23350,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23354,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23356,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23357,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23358,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23359,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23389,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23395,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23404,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23405,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23410,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23413,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23415,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23416,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23417,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23418,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23420,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23423,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23424,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23426,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23427,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23430,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23432,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23433,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23434,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23435,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23436,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23437,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23438,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23442,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23451,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23452,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23453,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23454,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23455,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23456,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23457,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23459,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23460,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23461,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23462,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23464,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23480,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23486,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23487,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23488,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
23501,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23502,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23503,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23504,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23505,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23507,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23508,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23509,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23510,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23511,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23513,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23517,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23518,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23523,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23551,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23601,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23602,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23603,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23604,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23605,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23606,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23607,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23608,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23651,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23661,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23662,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23663,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23664,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23665,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23666,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23667,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23669,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23690,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23691,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23692,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23693,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23696,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23701,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23702,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23703,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23704,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23707,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23801,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23803,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23805,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23821,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23824,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23827,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23828,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23829,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23830,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23831,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23832,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23833,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23834,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23836,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23837,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23838,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23839,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23840,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23841,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23842,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23843,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23844,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23846,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23847,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23850,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23851,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23856,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23860,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23866,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23867,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23868,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23872,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23874,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23875,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23876,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23878,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23879,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23881,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23882,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23883,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23885,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23888,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23889,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23890,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23894,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23897,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23898,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23899,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23901,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23915,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23917,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23920,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23921,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23922,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23923,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23924,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23927,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23930,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23934,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23936,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23937,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23938,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23942,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23943,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23944,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23947,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23950,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23952,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23954,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23955,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23958,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23959,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23960,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23962,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23964,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
