MarketName,Street,City,County,State,Zipcode,Longitude,Latitude
Adel Farmers Market,Courthouse Square,Adel,Dallas,Iowa,50830,-94.0175,41.6144
Adelanto Stadium Farmers Market,Hwy 395 & Rancho Drive,Victorville,San Bernardino,California,92392,-117.405,34.5593
Adrian Farmers Market,115 Toledo Street,Adrian,,Michigan,49221,-84.0351,41.9002
Afton Village Farmers Market,5401 Village Dr,Concord,Cabarrus,North Carolina,28027,-80.670172,35.414038
AGH Wellness Committee Farmer's Market,9733 Healthway Drive,Berlin,Worcester,Maryland,21811,-75.2113,38.3388
Agricenter International Farmers Market,7777 Walnut Grove Road,Memphis,Shelby,Tennessee,38120,-89.801873,35.127315
Agritopia Farm Stand,3000 E. Ray Road (Higley & Ray),Gilbert,Maricopa,Arizona,85233,-111.726,33.3219
Ahwatukee Farmers' Market,4700 E. Warner Rd.,Phoenix,Maricopa,Arizona,85044,-111.983133,33.331186
Aiken County Farmers Market,897 Richland Avenue East,Aiken,Aiken,South Carolina,29801,-81.7084941,33.5568819
Airport District Collaborative Certified Farmers' Market,805 Empire Ave,Modesto,Stanislaus,California,95354,-120.968681,37.626471
Airport Farmers and Flea Market,17375 Spring Hill Dr,Brooksville,Hernando,Florida,34604,-82.441117,28.48114
Akebono Farmers’ Market,Akebono Parking Lot,Pahoa,Hawaii County,Hawaii,,-154.951,19.4975
Akers of Strawberries,1054 Melton Rd.,Baker,Okaloosa,Florida,32531,-86.7014,30.7979
Akron Farmers Market,City Park,Akron,Plymouth,Iowa,51031,-96.5573,42.8309
Akwesasne Farmers Market,"469 State Route 37, across from Akwesasne Sports",Hogansburg,Franklin,New York,,-74.6677,44.9739
Ala Moana Farmers' Market,1450 Ala Moana Blvd,Honolulu,Honolulu,Hawaii,96814,-157.84505,21.291364
Alachua County Farmers' Market,5920 NW 13th Street,Gainesville,Alachua,Florida,32653,-82.352515,29.710665
Alamance County Farmers Market,200 S. Main St.,Burlington,Alamance,North Carolina,27215,-79.4357,36.0943
Alameda Farmers' Market,Haight Street at Webster,Alameda,,California,94502,-122.277,37.7742
Alamo Farmers Market,Buckhorn Ranch Road,Alamo,Lincoln,Nevada,89001,-115.1435,37.33075
Alamogordo Alameda Park Farmers' Market,1987 White Sands Blvd,Alamogordo,Otero,New Mexico,,-105.9606168,32.9126233
Alamogordo Otero County Farmers' Market,401 Fairgrounds Rd,Alamogordo,Otero,New Mexico,,-105.9606,32.92649
Alamosa Farmers Market,Main and State Streets Municipal Parking Lot,Alamosa,Alamosa,Colorado,81101,-105.864687,37.467893
Albany Downtown Farmers Market,Corner of W. Broad Ave. & N. Jackson St.,Albany,Dougherty,Georgia,31702,-84.15366,31.57684
Albany Farmers' Market,4th Avenue & Ellsworth Street,Albany,Linn,Oregon,97321,-123.105896,44.634984
Albert Lea Farmers Market,147 N. Broadway Ave,Albert Lea,Freeborn,Minnesota,56007,-93.369112,43.650982
Alberta Farmers Market,1500 NE Alberta Street,Portland,Multnomah,Oregon,97211,-122.65,45.5591
ALBERTA FARMERS MARKET,21724 Highway 5 ,ALBERTA,WILCOX,Alabama,36720,-87.4101,32.2319
Albion Farmers Market,Main Street,Albion,Calhoun,Michigan,49224,-85.4148,41.3959
Albuquerque Downtown Growers' Market,8th & Central NE,Albuquerque,Bernalillo,New Mexico,,-106.656754,35.085834
Albuquerque Northeast Farmers' & Artisans' Market,6400 Wyoming Blvd,Albuquerque,Bernalillo,New Mexico,,-106.55762,35.1506
Albuquerque VA Growers' Market,1501 San Pedro Drive SE,Albuquerque,Bernalillo,New Mexico,,-106.578,35.0553
Alcona Farmers Market,320 S. State Steet (US23),Harrisville,Alcona,Michigan,48740,-83.2973,44.6547
Alderson Farmers Market,Rt. 3 Main Street,Alderson,Greenbrier,West Virginia,24910,-80.642024,37.725954
Aldrich Arena Farmers Market,1850 White Bear Ave.,Maplewood,Ramsey,Minnesota,55109,-93.0877,44.9609
Alexander City Downtown Market,Braod Street,Alexander City,Tallapoosa,Alabama,35010,-85.9549,32.9442
Alexandria Bay Farmers Market,Route 12,Alexandria Bay,Jefferson,New York,13607,-75.9157,44.3314
Alexandria Farmers Market,"301 King St., Market Square",Alexandria,Alexandria,Virginia,22314,-77.043,38.8048
Alexandria Farmers' Market,2nd and Broadway,Alexandria,Douglas,Minnesota,56308,-95.376724,45.890763
alfred farmers market,Viliage bandstand on Main,alfred,Allegany,New York,14802,-77.790122,42.253728
Algoma Farm Market,SECOND ST. & CLARK STREET,Algoma,Kewaunee,Wisconsin,,-87.4363,44.6077
Algonquin Farmers Market,Washington St & S Harrison St.,Algonquin,,Illinois,60102,-88.293,42.165
Alhambra Farmers Market,Monterey & East Bay State Sts.,Alhambra,Los Angeles,California,91801,-118.123,34.094
Alii Garden Market Place,75-6129 Alii Drive,Kailua-Kona,,Hawaii,96740,-155.982,19.6144
Alisal Certified Farmers' Market,632 East Alisal Street,Salinas,Monterey,California,93905,-121.634203,36.673352
All Locally Grown Produce,20025 SW 270 Street,Homestead,Miami-Dade,Florida,33031,-80.516728,25.513552
All-Local Farmers Market,711 Whaley St,Columbia,Richland,South Carolina,29205,-81.0358,33.9847
All-Local Farmers Market 2,Rosewood market on Rosewood Drive at Maple Street,Columbia,Richland,South Carolina,,-81.0044,33.9874
Allamakee Farmers Market,1013 Rossville Road,Waukon,Allamakee,Iowa,52172,-91.4742,43.2569
Allegan Farmers Market,Water & Cutler,Allegan,Allegan,Michigan,49010,-85.8584,42.5287
Alleghany Farmers Market,HWY 18 N,Sparta,Alleghany,North Carolina,28675,-81.122593,36.503003
Allen County Farmers' Market,4-20 S. Washington St.,Iola,Allen,Kansas,66749,-95.4055011,37.922165
Allen Street Farmers Market,1619 E. Kalamazoo,Lansing,Ingham,Michigan,48912,-84.526307,42.729961
Allendale County Farmers Market,Corner of Bay Street & US Highway 301,Allendale,Allendale,South Carolina,29810,-81.3191,33.0044
Allentown Farigrounds Farmers Market,1825 Chew Street,Allentown,Lehigh,Pennsylvania,18104,-75.4942,40.6008
Allentown Turnpike Plaza Farmers Market,Route 9,Allentown,Lehigh,Pennsylvania,18104,-75.490183,40.608431
Alliance Farmers Market,3rd & Box Butte Ave.,Alliance,Box Butte,Nebraska,69301,-102.871,42.0971
Alliance Farmers' Market,Corner of E. Main St. and Mechanic Ave.,Alliance,Stark,Ohio,44601,-81.1024,40.9216
Alliance for the Arts GreenMarket,10091 McGregor Boulevard,Ft. Myers,Lee,Florida,33919,-81.89128,26.59521
Allston Farmers' Market,175 North Harvard Street,Allston,Middlesex,Massachusetts,2134,-71.1299,42.3629
Allston Village Farmers Market,500 Cambridge St.,Boston,Suffolk,Massachusetts,2134,-71.1378418,42.353384
Alma Farmers Market,"City Auditorium on Main Street, Downtown",Alma,Harlan,Nebraska,68920,-99.3625,40.1008
Alma Farmers' Market,Pine & Downie Streets,Alma,Gratiot,Michigan,48801,-84.656984,43.38027
Almont Farmers' Market,Van Dyke at School Street (northwest corner),Almont,Lapeer County,Michigan,,-83.0475,42.9216
Aloha Farmers Market,18631 SW Tualatin Valley Hw,Aloha,Washington,Oregon,97007,-122.87,45.4941
Alpena Farmers' Market,208 N. First Street,Alpena,Alpena,Michigan,49707,-83.429897,45.061184
Alpha Nursery Farmers' Market,"12 Alpha Lane,",Cascade,Valley,Idaho,83611,-115.998,44.4251
ALPHARETTA FARMERS MARKET,OLD CANTON STREET,ALPHARETTA,Fulton,Georgia,30009,-84.29514,34.075892
Alpine Flowerland Farmers' Market,3801 Alpine Ave NW,Comstock Park,Kent,Michigan,49321,-85.4386,44.3365
Alsip Farmers Market,12600 Kedzie Ave.,Alsip,Cook,Illinois,60803,-87.700424,41.665699
Altadena Farmers' Market,600 W Palm Ave,Altadena,Los Angeles,California,91001,-118.15813,34.200379
Altamont Farmer's Market,Main Street & Maple Avenue,Altamont,Albany,New York,12009,-74.0325,42.7013
Altavista Farmers Market,Trade Lot,Altavista,Campbell,Virginia,24517,-79.2838,37.1185
Alton Farmers and Artisans Market,900 Piasa Street,Alton,Madison,Illinois,62002,-90.185394,38.895809
Altoona Farmers Market,Heritage Plaza,Altoona,Blair,Pennsylvania,16601,-78.2462,40.6787
Altus Farmers Market,1116 North Main ST,Altus,Jackson,Oklahoma,73521,-99.3336,34.6491
Alum Rock Village Farmers' Market,57 N White Rd.,San Jose,Santa Clara,California,95127,-121.829184,37.365612
Alva Farmers Market,102 North 2d,Alva,Woods,Oklahoma,73717,-98.6602,36.8083
Amador Farmers' Market-- Jackson,Hwy 49 near Hwy 88,Jackson,Amador,California,95642,-120.7747,38.34751
Amador Farmers' Market-- Pine Grove,Hwy 88 at Irishtown Rd.,Pine Grove,Amador,California,95665,-120.6583,38.41303
Amador Farmers' Market-- Sutter Creek,Eureka St. & Highway 49,Sutter Creek,Amador,California,95685,-120.8017,38.39283
Ambler Farmers' Market,Butler Pike at Maple Ave,Ambler,Montgomery,Pennsylvania,19428,-75.225339,40.153274
Ambridge Farmers Market,St. Mary's Church Parking Lot,Ambridge,Beaver,Pennsylvania,15003,-80.225,40.5819
Amelia Barter Town Farmers Market,Farmers Market at the Fairgrounds,Amelia Court House,Amelia,Virginia,23002,-77.984421,37.328752
Amelia Farmers Market,6800 First Coast Hwy,Amelia Island,Nassau,Florida,32034,-81.454531,30.579786
Amenia Farmers Market,4988 Route 22,,Dutchess,New York,,-73.5549,41.8513
American Falls Farmers Market,City Park on Idaho St.,American Falls,,Idaho,83211,-120.173,40.5432
American Market@National Harbor,American Way,National Harbor,Prince George's,Maryland,20745,-77.01422,38.783762
American National Bank Downtown Farmers Market Festival,5th and Rood Avenue,Grand Junction,,Colorado,,-108.564,39.0682
Amerisafe Downtown Pavilion & Farmers Market,120 North Washington Av,DeRidder,,Louisiana,70634,-93.2862,30.8469
Amery Farmers Market,Sooline Park,Amery,Polk,Wisconsin,54001,-92.3624,45.3072
Ames Farmers' Market,Main Street Station 526 Main Street,Ames,Story,Iowa,50010,-93.6176,42.0249
Amherst Farmers Market,Church Street,Amherst,Hillsborough,New Hampshire,3031,-71.6256,42.8646
Amherst Farmers' Market,Spring Street Parking Lot,Amherst Center,Hampshire,Massachusetts,1002,-72.519422,42.374858
Amherst Winter Farmers' Market,170 Chestnut Street,Amherst,Hampshire,Massachusetts,,-71.8003,42.3658
Amityville Farmers Market,Broadway,Amityville,Suffolk,New York,11701,-73.4204356,40.6893186
Amma Farmers Market,Amma Senior and Community Center,Amma,Roane,West Virginia,25252,-81.255883,38.583305
Anaconda Community Market,401 E. Commercial Ave.,Anaconda,Deer Lodge,Montana,59711,-112.948115,46.129234
Anacortes Farmers Market,611 R Avenue,Anacortes,Skagit,Washington,98221,-122.609181,48.516974
Anamoose Market in the Park,Main Street,Anamoose,McHenry,North Dakota,58710,-100.24061,47.880722
Anamosa Farmers Market,Corner of Scott and Main Streets,Anamosa,Jones,Iowa,52205,-91.2795,42.1083
Anchorage Farmers Market,1420 Cordova Street,Anchorage,Anchorage,Alaska,99645,-152.571,64.3172
Anchorage Market & Festival,3rd Avenue and E Street,Anchorage,Anchorage,Alaska,99501,-149.891,61.2195
Anderson County Farmers Market,402 N. Murray Ave.,Anderson,Anderson,South Carolina,29621,-82.652183,34.506745
Anderson County Farmers Market,1505 Bypass US 127 North,Lawrenceburg,Anderson,Kentucky,40342,-84.917486,38.050707
Anderson Farm Market,1240 Clifton Rd,Xenia,Greene,Ohio,45385,-83.8824,39.7668
Anderson Farmers' Market,7832 Five Mile Road,Cincinnati,Hamilton,Ohio,45230,-84.350477,39.078417
Anderson Happy Valley Farmers Market,Happy Valley Rd.,Anderson,Shasta,California,96007,-122.408,40.4487
Andersonville Farmers Market,1500 W. Berwyn Ave.,Chicago,Cook,Illinois,60640,-87.6687,41.978
Andover Farmers Market,13655 Round Lake Blvd. NW,Andover,Anoka,Minnesota,,-93.3573105,45.2192618
Andover Farmers Market,97 Main Street,Andover,Middlesex,Massachusetts,MA,-71.138738,42.653466
Andrews Farmers Market,First Street,Andrews,Cherokee,North Carolina,,-83.8232,35.2027
Angelica Farmers' Market,"Park Circle, Main Street",Angelica,Allegany,New York,14709,-78.026857,42.309251
Angels Camp Farmers Market-Fresh Fridays,"Utica Park, Utica Lane",Angels Camp,Calaveras,California,95222,-120.5427,38.072158
Ann Arbor Farmers Market,315 Detroit St,Ann Arbor,Washtenaw,Michigan,48104,-83.7465,42.2838
Anna/Union County Farmers Market,1150 E Vienna St.,Anna,Union,Illinois,62906,-89.2093,37.4604
Annandale Farmers Market,6621 Columbia Pike,Annandale,,Virginia,22003,-77.1743,38.8348
Annapolis FRESHFARM Market,Compromise Street,Annapolis,Anne Arundel,Maryland,21401,-76.48621,38.97658
Anne Arundel County (Riva),Riva Road & Harry S Truman pkwy,Annapolis,Anne Arundel,Maryland,21401,-76.5556,38.9763
Anne Heyliger Vegetable Market,Queen Cross Street,Saint Croix,Frederiksted,Virgin Islands,,-64.8799,17.7099
Anniston Downtown Farmers Market,14th & Gurnee,Anniston,Calhoun,Alabama,36201,-85.832,33.6625
Anoka County Growers Association/ Anoka Market,420 E. Main Street,Anoka,Anoka,Minnesota,55303,-93.384261,45.197726
Anoka County Growers/ St. Timothy Church Blaine,707 89th Ave. NE,Blaine,Anoka,Minnesota,,-93.2525239,45.13304
Anoka County Growers/Immaculate Conception Church,40th and Jackson Street,Columbia Heights,Anoka,Minnesota,,-93.2459,45.0489
Anselma Farmers' and Artisans' Market,1730 Conestoga Road/Rt 401,Chester Springs,Chester,Pennsylvania,19425,-75.641899,40.079648
Anson County Farmers Market,1736 Hwy 52 South,Wadesboro,Anson,North Carolina,28170,-80.052567,34.940829
Anthem Community Farmers Market,41703 N Gavilan Peak Parkway,Anthem,Maricopa,Arizona,85086,-112.12314,33.849663
Anthony Farmers Market,Corner of West Main and Lawrence,Anthony,Harper,Kansas,67003,-98.038,37.1521
Antigo Farmers Market,700 Superior St,Antigo,Langlade,Wisconsin,54409,-89.15228,45.14188
Antioch Farmers' Market at Somersville Towne Center,2600 Somersville Rd.,Antioch,Contra Costa,California,94509,-121.844338,38.002918
Antrim County Farmers Market,Behind Senior Citizen Center,Bellaire,Antrim,Michigan,49615,-85.2095,44.9718
Appalachian Farmers' Market,Intersection of Fair Street and Lakeview Drive,Gray,Washington,Tennessee,37615,-82.4819,36.4183
Apple Country Farmers Market,19th and Ave A,Lubbock,Lubbock,Texas,79401,-101.8364,33.57785
Apple Country Farmers Market,12206 E. Hwy 62,Idalou,Lubbock,Texas,79329,-101.611862,33.666336
Apple Valley Farmers' Market,corner of Cty Rd 42 & Galaxy near City Hall,Apple Valley,Dakota County,Minnesota,,-93.2072,44.7309
Appleton Downtown Farm Market,100 College Avenue,Appleton,Outagamie,Wisconsin,54911,-88.40703,44.26201
Appleton Downtown Farm Market,"100 College Avenue, City Center Plaza",Appleton,Outagamie,Wisconsin,54911,-88.406203,44.261961
Aptos Farmers Market at Cabrillo College,6500 Soquel Drive,Aptos,Santa Cruz,California,95003,-121.924643,36.988442
Aquidneck Grange Farmers Market,499 East Main Rd.,Middletown,NEWPORT,Rhode Island,,-71.2842,41.521
Aquidneck Growers Markets,909 East Main Road,Middletown,Newport,Rhode Island,2840,-71.2732884,41.5295811
ARAB FARMERS MARKET,307 NORTH MAIN STREET,ARAB,Marshall,Alabama,36016,-86.495876,34.320401
Arbuckle Certified Farmers Market,5th & Hall Streets,Arbuckle,,California,95912,,
Arcade Farmers' Market,400 W. Main St.,Arcade,Wyoming,New York,14009,-78.4308288,42.5337764
Arcadia Valley Farmers' Market,250 South Main Street,Ironton,Iron,Missouri,63650,-90.6278618,37.5945109
Arcata Plaza Farmers' Market,9th and H Streets,Arcata,Humboldt,California,95521,-124.087,40.8686
Arcata Plaza Farmers' Market,Weott Way,Arcata,Humboldt,California,95521,-124.083,40.8665
Archwood Green Barns Farmers Market,"Intersection of Rt. 245 & I-66, exit 31",The Plains,Fauquier,Virginia,20198,-77.7875,38.851
Area Farmers Market,3102 Baldwin Street,Corpus Christi,Nueces,Texas,78405,-97.4258,27.7763
Arenac Conservation District Farmers Market,107 N Main Street,Standish,Arenac,Michigan,48658,-83.961296,43.983428
Arivaca Market,"Gadsen Coffee Co., 16800 Arivaca Rd.",Arivaca,Pima County,Arizona,,-111.319,31.591
Ark City Farm & Art Market,200 Blcok S. Summit,Arkansas City,Cowley,Kansas,67005,-97.0386,37.0609
Arkansas County/North Farmers Market,Main and Sixth,Stuttgart,Arkansas,Arkansas,72160,-91.5488,34.4851
Arkansas County/South Farmers Market,The Triangle,DeWitt,Arkansas,Arkansas,72042,-91.3401,34.2823
Arkansas Home Grown Market I,Corner of Cantrell and Pleasant Valley,Little Rock,Pulaski,Arkansas,72206,-92.3709,34.7568
Arkansas Home Grown Market II,Lakewood Village Mall,Little Rock,Pulaski,Arkansas,72206,-92.2329,34.7955
Arkansas Home Grown Market III,YMCA - 12th & Cleveland,Little Rock,Pulaski,Arkansas,72206,-92.3452,34.7404
Arkansas Local Food Network Online Farmers Market,509 Scott St.,Little Rock,Pulaski,Arkansas,72201,-92.269599,34.743076
Arlene Knudson,305 N. Buckeye Street,Osgood,Ripley,Indiana,47037,-85.2924,39.1313
Arlington CFM,5715 Market Street,Oakland,Alameda,California,,-122.275,37.8421
Arlington Farmers Market,200 North Olympic,Arlington,Snohomish,Washington,98223,-122.1264564,48.1936753
Arlington Farmers Market,20 Russell St,Arlington,,Massachusetts,2474,-71.1523,42.4179
Arlington Farmers Market,123 Raymond Avenue,Poughkeepsie,Dutchess,New York,12603,-73.8963603,41.6818665
Arlington Farmers Market,1400 N. Courthouse Rd.,Arlington,Arlington,Virginia,22201,-77.08382,38.889646
Arlington Heights Farmers Market,N. Arlington Heights Rd. at E. Eastman St.,Arlington,Cook,Illinois,60004,-87.9808,42.086
Armijo Village Growers' Market,Isleta Blvd & Arenal Rd,Albuquerque,Bernalillo,New Mexico,,-106.67716,35.052905
Armory Farmers Market,Parade St and Hudson St,Providence,Providence,Rhode Island,2909,-71.431725,41.813396
Arnold Farmers Market,2400 Bradley Beach Road,Arnold,Jefferson,Missouri,63010,-90.341844,38.453347
Arnold-Mountain Growers Farmers Market,"Cedar Center, Hwy. 4 & Oak Circle",Murphys,Calaveras,California,95247,-120.362,38.239
Arroyo Grande Oak Park Plaza Farmers Market,"East Branch, K-Mart Parking lot",Arroyo Grande,San Luis Obispo,California,93420,-120.604495,35.130092
Arroyo Grande Spencers CFM,1464 E. Grand Avenue,Arroyo Grande,SAN LUIS OBISPO,California,,-120.606,35.1221
Art N Harvest Market,500 Reid Street,Palatka,Putnam,Florida,32177,-81.6332,29.6481
Arthur Produce Auction,354 N Cr-100 E,Arthur,,Illinois,61911,-88.4518,39.7033
Artisan and Agriculture Market,72955 Van Dyke Ave.,Bruce Township,Macomb,Michigan,48065,-83.020856,42.831033
Artisan Foodworks Thursday Evening Market,9600 North US Hwy 31,Columbus,Bartholomew,Indiana,47201,-85.953111,39.292351
Artisan Gift and Farmers Market,"Bear Canyon Shopping Center, (East Tanque Verde Rd. & Catalina Hwy.)",TUCSON,Pima County,Arizona,,-110.799,32.2579
Arvada Farmers Market,57th St. & Olde Wadsworth St.,Arvada,Jefferson,Colorado,80002,-105.081455,39.800138
Arvada Five Parks Farmers Market,13810 W. 85th Dr.,Arvada,,Colorado,80005,-105.155,39.8488
Asbury Fresh,Kennedy Park (on Cookman Ave next to Ivan & Andys,Asbury Park,,New Jersey,7712,-74.0094,40.2164
Asbury Park Carousel Farmers' Market,First and Ocean Avenue,Asbury Park,Monmouth,New Jersey,7712,-74.0007788,40.219339
Ashboro Downtown Farmers Market,134 South Church Street,Asheboro,Randolph,North Carolina,28801,-79.8175,35.7049
Ashburn (Chicago) Farmers Market,6700 S. Kedzie Ave.,Chicago,Cook,Illinois,60629,-87.626,41.8851
Ashburn Farmers Market,44036 Pipeline Plaza,Ashburn,Loudoun,Virginia,20147,-77.477914,39.023117
Ashburnham Farmers Market,32 Main St,Ashburnham,,Massachusetts,1430,-71.9098,42.6372
