State,County,PK thru 12th Students 2009-10,PK thru 12th Students 2008-09,PK thru 12th Students 2007-08,PK thru 12th Students 2006-07,PK thru 12th Students 2005-06,Male Students [Public School] 2012-13,Male Students [Public School] 2011-12,Male Students [Public School] 2010-11,Male Students [Public School] 2009-10,Male Students [Public School] 2008-09,Male Students [Public School] 2007-08,Male Students [Public School] 2006-07,Male Students [Public School] 2005-06,Female Students [Public School] 2012-13,Female Students [Public School] 2011-12,Female Students [Public School] 2010-11,Female Students [Public School] 2009-10,Female Students [Public School] 2008-09,Female Students [Public School] 2007-08,Female Students [Public School] 2006-07,Female Students [Public School] 2005-06,American Indian/Alaska Native Students [Public School] 2012-13,American Indian/Alaska Native Students [Public School] 2011-12,American Indian/Alaska Native Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2009-10,American Indian/Alaska Native Students [Public School] 2008-09,American Indian/Alaska Native Students [Public School] 2007-08,American Indian/Alaska Native Students [Public School] 2006-07,American Indian/Alaska Native Students [Public School] 2005-06,Asian or Asian/Pacific Islander Students [Public School] 2012-13,Asian or Asian/Pacific Islander Students [Public School] 2011-12,Asian or Asian/Pacific Islander Students [Public School] 2010-11,Asian or Asian/Pacific Islander Students [Public School] 2009-10,Asian or Asian/Pacific Islander Students [Public School] 2008-09,Asian or Asian/Pacific Islander Students [Public School] 2007-08,Asian or Asian/Pacific Islander Students [Public School] 2006-07,Asian or Asian/Pacific Islander Students [Public School] 2005-06,Hispanic Students [Public School] 2012-13,Hispanic Students [Public School] 2011-12,Hispanic Students [Public School] 2010-11,Hispanic Students [Public School] 2009-10,Hispanic Students [Public School] 2008-09,Hispanic Students [Public School] 2007-08,Hispanic Students [Public School] 2006-07,Hispanic Students [Public School] 2005-06,Black Students [Public School] 2012-13,Black Students [Public School] 2011-12,Black Students [Public School] 2010-11,Black Students [Public School] 2009-10,Black Students [Public School] 2008-09,Black Students [Public School] 2007-08,Black Students [Public School] 2006-07,Black Students [Public School] 2005-06,White Students [Public School] 2012-13,White Students [Public School] 2011-12,White Students [Public School] 2010-11,White Students [Public School] 2009-10,White Students [Public School] 2008-09,White Students [Public School] 2007-08,White Students [Public School] 2006-07,White Students [Public School] 2005-06,Hawaiian Nat./Pacific Isl. Students [Public School] 2012-13,Hawaiian Nat./Pacific Isl. Students [Public School] 2011-12,Hawaiian Nat./Pacific Isl. Students [Public School] 2010-11,Hawaiian Nat./Pacific Isl. Students [Public School] 2009-10,Hawaiian Nat./Pacific Isl. Students [Public School] 2008-09,Two or More Races Students [Public School] 2012-13,Two or More Races Students [Public School] 2011-12,Two or More Races Students [Public School] 2010-11,Two or More Races Students [Public School] 2009-10,Two or More Races Students [Public School] 2008-09
WYOMING,ALBANY COUNTY,3661,3626,3602,3591,3658,1940,1938,1919,1925,1904,1906,1914,1886,1790,1831,1763,1736,1719,1692,1677,1687,25,38,31,30,49,52,56,54,105,105,99,98,126,115,117,112,632,607,607,603,524,506,487,487,50,49,55,52,77,91,86,92,2813,2863,2798,2784,2847,2834,2845,2828,2,4,0,0,†,103,103,92,94,†
VIRGINIA,ALBEMARLE COUNTY,†,†,†,‡,12766,6363,6339,6367,6182,6096,6129,6106,6189,6198,6087,6206,6015,5885,5846,5852,5951,31,41,40,20,20,17,16,21,581,577,542,636,590,576,566,510,1153,1104,1083,777,661,621,588,590,1358,1397,1445,1621,1607,1619,1590,1608,8796,8689,8853,9143,9103,9142,9198,9411,5,9,13,†,†,637,609,597,†,†
MICHIGAN,ALCONA COUNTY,908,996,997,1023,1074,402,399,428,473,543,557,554,569,371,369,398,426,474,474,512,531,5,5,17,8,8,10,9,9,6,7,8,8,7,7,8,8,15,5,4,6,7,7,7,9,3,3,4,1,1,4,3,4,743,748,792,876,994,1003,1039,1070,0,0,1,†,†,1,0,0,†,†
MISSISSIPPI,ALCORN COUNTY,5590,5597,5658,5671,5632,3110,3080,2608,2935,2938,2968,3019,2979,2901,2855,2400,2741,2751,2790,2746,2740,5,4,4,5,3,4,8,2,26,22,18,19,16,19,18,19,200,178,134,143,130,119,103,82,959,967,664,920,931,923,929,957,4709,4687,4150,4558,4609,4693,4707,4659,0,0,0,0,0,112,77,38,31,0
ALASKA,ALEUTIANS EAST BOROUGH,262,275,283,267,271,142,140,151,137,140,147,140,134,115,110,124,125,135,135,127,137,194,192,207,192,215,226,217,223,10,10,8,10,4,15,20,17,7,8,10,11,8,9,6,6,0,0,1,2,2,1,3,0,32,30,36,36,27,31,21,25,10,10,12,10,19,4,0,1,1,0
ALASKA,ALEUTIANS WEST CENSUS AREA,505,519,502,512,563,290,292,277,288,289,274,278,286,259,236,250,254,269,263,276,277,180,155,166,169,187,195,203,211,172,168,164,165,153,139,117,120,59,61,58,54,55,53,53,52,1,3,1,1,2,3,2,4,126,129,129,146,152,147,179,176,7,7,8,4,6,4,5,1,3,3
ILLINOIS,ALEXANDER COUNTY,1195,1217,‡,‡,1321,591,555,541,625,630,717,781,814,592,558,531,601,673,676,700,740,0,1,0,1,1,2,2,6,0,0,0,1,0,1,1,1,13,8,9,17,16,19,22,10,587,566,495,654,669,708,757,831,523,484,505,553,617,663,699,706,1,0,0,†,†,59,54,63,†,†
NORTH CAROLINA,ALEXANDER COUNTY,5553,5626,5661,5731,5753,2766,2814,2877,2884,2882,2868,2914,2997,2617,2659,2655,2665,2704,2670,2716,2756,9,11,7,5,4,3,6,7,109,115,122,135,146,152,159,169,401,390,390,339,331,324,317,308,205,209,215,396,385,242,261,375,4502,4593,4654,4674,4720,4817,4887,4894,0,0,0,†,†,157,155,144,†,†
VIRGINIA,ALEXANDRIA CITY,11661,11223,10570,10334,10643,6782,6320,6285,5730,5458,5216,5204,5433,6323,6000,5714,5430,5353,5021,4866,5026,75,77,40,159,25,28,23,23,606,654,634,717,712,706,664,624,4245,3708,3688,3150,3023,2648,2608,2802,4272,4169,4104,4253,4331,4245,4238,4479,3572,3404,3004,2881,2720,2610,2537,2531,41,34,18,†,†,294,274,511,†,†
OKLAHOMA,ALFALFA COUNTY,816,832,836,866,756,436,389,392,381,391,405,403,408,347,349,326,303,328,336,360,411,35,42,34,34,35,32,39,27,4,5,4,4,2,5,5,9,42,23,21,16,19,19,27,24,4,15,15,13,6,7,7,10,666,641,636,617,657,678,685,749,0,0,0,†,†,32,12,8,†,†
MICHIGAN,ALGER COUNTY,1155,1206,1281,1326,1311,549,564,573,565,595,618,654,669,518,524,542,576,589,645,672,670,101,109,113,146,149,149,157,170,10,7,5,17,18,19,19,18,23,24,26,15,14,14,8,12,4,6,5,5,3,4,0,2,879,873,895,958,1000,1077,1142,1137,1,0,0,†,†,49,69,71,†,†
IOWA,ALLAMAKEE COUNTY,2358,2283,2330,2382,2426,1151,1136,1109,1135,1131,1167,1203,1216,1047,1028,1079,1134,1148,1160,1176,1207,7,8,8,8,14,18,14,14,4,2,3,3,7,8,11,16,313,272,247,223,199,228,242,182,43,21,24,24,65,22,22,32,1810,1843,1886,1983,1994,2051,2090,2179,3,3,4,3,†,18,15,16,25,†
MICHIGAN,ALLEGAN COUNTY,15431,15620,15723,15505,18692,9728,9693,9809,9762,9892,9949,9997,10112,9012,9013,9049,8942,9229,9256,9250,9328,106,96,97,111,132,143,122,113,134,135,124,118,135,142,140,171,1554,1508,1411,1256,1313,1222,1146,1214,349,376,335,413,463,369,361,361,16312,16383,16696,16806,17078,17329,17478,17581,15,9,11,†,†,270,199,184,†,†
MARYLAND,ALLEGANY COUNTY,9152,9232,9436,9526,9715,4628,4657,4724,4758,4783,4920,4963,5102,4301,4256,4298,4394,4449,4516,4563,4613,27,30,34,55,47,48,42,38,69,60,66,81,79,78,67,69,112,120,118,113,69,65,60,47,304,342,370,537,519,514,486,433,8062,8050,8170,8366,8518,8731,8871,9128,2,3,2,†,†,353,308,262,†,†
NEW YORK,ALLEGANY COUNTY,7365,7578,7591,7636,7685,3567,3684,3770,3858,3850,3934,3966,3998,3331,3428,3585,3530,3492,3678,3700,3738,14,20,19,19,17,9,12,9,60,57,63,97,69,60,52,53,73,81,109,40,41,36,44,34,70,62,85,73,93,96,84,75,6615,6842,7052,7159,7122,7411,7474,7565,6,3,0,†,†,60,47,27,†,†
NORTH CAROLINA,ALLEGHANY COUNTY,1596,1618,1667,1673,1611,732,766,751,795,775,832,836,808,752,786,807,794,757,787,791,803,1,4,2,0,0,0,0,1,4,2,3,3,3,2,2,0,274,248,215,195,186,190,193,155,9,10,17,56,57,13,11,39,1180,1270,1298,1335,1286,1414,1421,1416,0,0,0,†,†,16,18,23,†,†
VIRGINIA,ALLEGHANY COUNTY,2848,2896,2914,2923,2928,1385,1339,1394,1501,1497,1509,1379,1385,1243,1260,1275,1331,1387,1399,1322,1304,6,7,7,7,7,4,7,5,10,9,12,14,6,5,3,7,45,38,33,26,28,27,20,14,173,175,184,226,219,221,217,212,2327,2315,2393,2559,2624,2651,2454,2451,1,1,1,†,†,66,54,39,†,†
PENNSYLVANIA,ALLEGHENY COUNTY,149967,150581,156611,166347,163888,35318,77358,77477,76475,77212,79362,84337,83926,33588,73757,73825,73061,73714,75648,79815,79758,85,217,224,221,204,240,218,213,2479,4825,4375,4170,3926,3651,3517,3281,946,1766,1592,1435,1339,1258,1206,1094,15430,33023,33866,34305,34658,34433,38566,38487,47413,106576,106974,109405,110799,115428,120645,120609,58,94,92,†,†,2495,4614,4179,†,†
OHIO,ALLEN COUNTY,15364,16235,16431,16517,17960,7933,7987,8116,7496,8036,8150,8478,8582,7624,7745,7761,7173,7616,7760,7965,8098,31,24,24,25,22,32,27,29,138,137,135,140,156,130,131,132,437,422,331,248,244,244,247,240,2478,2491,2540,2550,2666,2692,2797,2915,11242,11454,11612,11706,12564,12812,13241,13364,9,8,6,†,†,1222,1196,1229,†,†
INDIANA,ALLEN COUNTY,56464,56031,55437,54983,54415,28023,28127,28829,27447,27493,27254,27104,27982,26903,27042,27593,26067,25961,25805,25810,26471,221,249,267,235,233,236,234,240,2512,2428,2358,2406,2000,1502,1312,1216,5826,5574,5410,4846,4750,4548,4233,3999,9649,9812,10156,10281,10404,10378,10498,10754,33044,33656,34888,35746,36067,36395,36637,38244,57,62,61,†,†,3617,3388,3282,†,†
KANSAS,ALLEN COUNTY,2254,2299,2363,2331,2284,1138,1173,1147,1174,1232,1243,1196,1235,1091,1079,1056,1054,1067,1120,1071,1091,13,14,15,18,62,27,27,14,8,8,8,10,22,22,26,24,93,85,83,81,51,72,61,35,52,45,39,41,65,74,56,37,1973,2017,1985,2016,2099,2168,2097,2216,2,2,3,4,†,88,81,70,58,†
KENTUCKY,ALLEN COUNTY,3003,3037,3090,3013,3110,1542,1558,1553,1512,1513,1546,1519,1551,1481,1513,1502,1465,1495,1519,1484,1472,5,7,8,7,7,5,3,2,9,8,7,6,5,5,5,4,78,72,54,35,36,30,24,11,30,30,31,34,31,35,31,25,2863,2913,2917,2895,2929,2990,2940,2981,0,0,0,†,†,38,41,38,†,†
LOUISIANA,ALLEN PARISH,4207,4196,4249,4303,4377,2219,2229,2237,2209,2264,2313,2264,2274,2140,2105,2055,2013,2088,2101,2039,2103,61,62,65,78,78,73,70,41,35,36,37,41,33,26,28,31,56,60,44,44,50,47,43,46,947,964,981,1005,1078,1091,1017,1051,3204,3163,3124,3054,3113,3177,3145,3208,2,2,2,†,†,54,47,39,†,†
SOUTH CAROLINA,ALLENDALE COUNTY,1583,1577,1637,1666,1706,705,730,801,839,821,835,856,876,624,662,738,744,756,800,810,830,3,3,3,5,2,1,1,0,3,1,3,6,4,6,5,7,40,33,42,45,37,37,37,36,1246,1320,1442,1487,1504,1548,1578,1610,34,34,47,40,30,43,45,53,0,0,0,†,†,3,1,2,†,†
MICHIGAN,ALPENA COUNTY,4628,4672,4835,4867,5056,2147,2172,2175,2346,2355,2465,2495,2551,2054,2091,2067,2248,2280,2355,2419,2496,20,27,18,18,20,19,21,22,26,28,25,35,31,36,37,39,35,13,13,10,15,15,13,8,26,20,16,20,28,18,23,26,4019,4113,4122,4511,4541,4732,4820,4952,4,4,6,†,†,71,58,42,†,†
CALIFORNIA,ALPINE COUNTY,112,129,127,138,133,52,‡,43,49,41,48,62,57,53,‡,45,63,65,61,74,73,35,‡,34,39,56,50,54,61,0,‡,0,0,0,0,1,0,9,‡,4,4,1,1,0,2,0,‡,0,0,0,0,0,0,56,‡,48,67,48,58,81,67,0,‡,0,0,0,5,‡,2,2,1
CALIFORNIA,AMADOR COUNTY,‡,4944,‡,5162,5303,2099,2110,2156,2245,2695,2434,2667,2799,2127,2132,2150,2216,2243,1961,2122,2194,109,100,98,113,128,130,161,187,46,50,47,44,53,76,89,94,805,745,718,689,627,621,659,708,44,22,19,18,139,148,149,148,2947,3040,3137,3309,3433,3420,3731,3856,11,13,16,13,16,264,272,271,275,542
VIRGINIA,AMELIA COUNTY,1844,1849,1880,1847,1768,927,952,957,984,976,977,954,918,859,828,821,856,864,889,888,848,6,3,10,8,9,12,9,6,7,9,9,6,5,4,2,3,59,53,47,45,48,40,24,13,476,520,534,561,569,580,591,564,1202,1168,1178,1220,1209,1230,1216,1180,0,0,0,†,†,36,27,0,†,†
VIRGINIA,AMHERST COUNTY,4634,4771,4764,‡,4755,2309,2375,2434,2432,2477,2467,2507,2494,2133,2151,2165,2167,2244,2258,2271,2241,43,46,50,46,48,46,49,49,16,21,21,39,39,35,40,47,139,118,107,93,97,93,75,73,1016,1064,1121,1207,1241,1234,1250,1250,3014,3093,3175,3214,3296,3317,3364,3316,4,2,2,†,†,210,182,123,†,†
MISSISSIPPI,AMITE COUNTY,1189,1258,1245,1296,1491,‡,547,561,633,664,663,673,764,‡,515,529,574,610,596,636,736,‡,2,1,0,0,0,1,‡,‡,0,0,2,2,0,0,‡,‡,9,9,7,8,8,7,‡,‡,880,912,999,1059,1054,1103,‡,‡,161,163,191,205,197,198,‡,‡,0,0,0,0,‡,10,5,8,0
